;Tackles_TotalTackles;Tackles_DribbledPast;Tackles_TotalAttemptedTackles;Interception_Total;Fouls_Fouled;Fouls_Fouls;Cards_Yellow;Cards_Red;OffSides_CaughtOffside;Clearances_Total;Blocks_ShotsBlocked;Blocks_CrossesBlocked;Blocks_PassesBlocked;Saves_Total;Saves_SixYardBox;Saves_PenaltyArea;Saves_OutOfBox;PassesLength_Total;PassesLength_AccLB;PassesLength_InAccLB;PassesLength_AccSP;PassesLength_InAccSP;PassesType_AccCr;PassesType_InAccCr;PassesType_AccCrn;PassesType_InAccCrn;PassesType_AccFrK;PassesType_InAccFrK;ShotsZones_OutOfBox;ShotsZones_SixYardBox;ShotsZones_PenaltyArea;ShotsSituations_OpenPlay;shotsSituations_Counter;ShotsSituations_SetPiece;ShotsSituations_PenaltyTaken;ShotsAccuracy_OffTarget;ShotsAccuracy_OnPost;ShotsAccuracy_OnTarget;ShotsAccuracy_Blocked;ShotsBodyParts_RightFoot;ShotsBodyParts_LeftFoot;ShotsBodyParts_Head;ShotsBodyParts_Other;Dribbles_Unsuccessful;Dribbles_Successful;Dribbles_Total;PossesionLoss_UnsuccessfulTouches;PossesionLoss_Dispossessed;Aerial_Total;Aerial_Won;Aerial_Lost;Pts
Valenciennes10;21.8;6.2;28.1;21;14.9;18.7;1.9;0.1;2.4;26.1;2.7;2.3;0;3.4;0.1;1.8;1.5;385.4;37.3;29.8;251.8;66.6;5.9;19.1;1.7;2.7;8.3;3.9;5.4;0.7;5.8;7.8;0.8;1.1;0.1;5.7;0.3;3.7;2.4;5.7;4.4;1.8;0;9.6;7.2;16.8;0;8.8;23.7;11.6;12.1;52
Monaco10;22.2;6.4;28.6;20;17.6;17.8;2.4;0.1;2.8;31.9;3.2;2.7;0;3.1;0.2;1.6;1.4;346.6;27.7;33.9;218.5;66.4;4.2;17.5;1.9;3.1;8.4;5.4;6.1;0.4;6.1;7.6;0.4;1.4;0.1;5.4;0.2;4.2;3;5.4;5;2.1;0.1;8.8;6.4;15.3;0;11.6;21.8;10.4;11.4;55
Saint-Etienne10;21.8;5.5;27.3;21;15.1;15.4;1.6;0.1;2.1;29.2;2.8;2.2;0;3.7;0.1;2.1;1.5;395;27.6;27.8;270.4;69.1;5;17.9;1.6;3.4;8.9;3.6;6.3;0.7;6.5;9;0.9;1.2;0.1;6.5;0.3;3.9;3.1;6.4;4.5;2.5;0;9.3;8.5;17.8;0;14.1;18;10;8;40
Rennes10;20.8;6.3;27.1;15.1;13.3;15;1.3;0.2;2.8;30.4;2.4;2.6;0;2.7;0.2;1.6;1;409.3;27.7;29.1;281.1;71.4;4.5;16.9;1.7;2.7;6.5;3.7;6.2;0.9;6.8;9.8;0.6;1;0.2;6.4;0.4;4.7;2.7;8.4;3.3;2.2;0;6.8;6.3;13.1;0;14.1;21.6;11.8;9.8;53
Toulouse10;20.5;5.6;26.1;17.3;14.6;18.7;1.9;0.1;1.9;29.8;2.8;1.9;0;2.8;0.1;1.3;1.4;381.1;26.7;27;259.8;67.7;4.1;16.7;1.5;3.4;7.3;3.8;5.9;0.7;6.1;8.7;0.4;1.1;0;6.1;0.3;4.2;2.3;8;2.9;1.7;0;11.5;6.5;18;0;12.7;20.1;11.2;8.9;47
Nancy10;19.4;6.4;25.8;20.9;14.9;15.3;1.7;0.2;1.8;29.9;2.7;2.3;0;2.9;0.1;1.7;1.2;341.6;29;33.6;209.5;69.4;3.7;15.2;1.4;3.1;6.4;5.3;5.6;0.7;6.1;8.1;0.8;1;0.1;6.3;0.3;3.8;2.2;8;2.7;1.7;0;7.9;5.9;13.8;0;12.7;22.6;10.6;12;48
Lens10;22.8;5.7;28.6;17.9;16.3;17.3;1.6;0.1;2.5;26.6;2.6;2.6;0;3;0.1;1.4;1.5;343.9;30.3;27.1;223.8;62.7;5.1;19.2;1.9;2.2;8.7;3.4;5.4;0.9;5.6;8.4;0.4;1.1;0.2;5.3;0.1;4;2.6;5.7;4.1;2.2;0;7.3;7.2;14.4;0;15;20.3;10.1;10.3;48
Montpellier10;18.3;5.7;24;15.1;17.7;19.1;2.2;0.2;1.8;31.8;2.5;1.9;0;2.1;0.1;1.1;0.9;388.2;23.3;30.2;264.8;69.8;3.2;14.3;1;3;7.6;5.6;6.2;0.9;5.2;7.8;0.2;1.4;0.2;5.6;0.2;4.2;2.4;6.1;4.7;1.4;0.1;9.7;6.1;15.8;0;11.2;20.9;9.6;11.3;69
Nice10;20.4;6.7;27.1;21.9;15.1;17.4;1.9;0.1;2.2;35.9;2.4;2.1;0;3.5;0.2;1.8;1.6;334.8;30.5;33.2;216.7;54.4;3.8;15.8;1.3;3.6;7.4;4.3;5.6;0.7;5.3;8;0.5;0.6;0.1;5.2;0.1;3.9;2.5;5.3;4.6;1.7;0;10;4.9;14.9;0;10.6;20.2;8.9;11.3;44
PSG10;20.1;6;26.1;18.4;13.8;15.8;1.5;0.1;2.2;24.7;2.3;2.8;0;3;0.1;1.3;1.5;395.1;29.2;26.9;269.9;69.1;4.9;19.7;1.4;3.7;7.2;3.7;5.6;0.8;6.9;8.7;0.5;1.3;0.1;5.6;0.2;5.1;2.7;7.3;3.8;2.3;0;8.1;6.2;14.3;0;14;20.5;11.3;9.2;47
Sochaux10;18.3;4.9;23.2;15.4;14;15.2;1.5;0.1;1.6;37;2.6;3.1;0;3.6;0.2;1.6;1.8;393.8;33.2;26.4;267.4;66.8;4.7;17.4;1.4;3.5;9.7;1.9;5.6;0.7;5.2;8.2;0.3;0.6;0.1;5;0.2;3.7;2.7;5.6;4.3;1.6;0;7.6;8;15.5;0;14.1;19.2;8.8;10.4;41
Boulogne10;22.6;8.4;31;21.6;12.9;15.7;2.1;0.2;1.2;31.7;3.6;2.9;0;3.4;0.1;2.1;1.2;349.9;27.8;31.3;217.7;73.1;4.6;14.3;1.3;2.3;6.8;4;4.3;0.6;4.4;6;0.5;0.6;0.1;4.4;0.1;3.1;1.8;4.4;3.6;1.4;0;7.5;4.9;12.4;0;11.4;17.5;8.7;8.8;31
Le-Mans10;21;6.4;27.4;15.9;13.7;17.6;2.3;0.2;2.1;21.7;3.2;2.9;0;3.3;0.1;1.7;1.5;363.8;31.9;31.2;225.7;74.9;4.6;17.5;1.1;2.8;6.2;4.9;4.9;0.8;5.5;8.6;0.1;0.9;0.1;4.6;0.2;4;2.6;5.9;3.7;1.6;0;3.1;5.1;8.2;0;16.1;28.3;14.9;13.4;32
Grenoble10;20.7;5.9;26.6;17.8;17.2;14.8;1.7;0.2;2.4;27.2;2.2;2.9;0;2.9;0.2;1.6;1.2;367.4;29.5;34.1;234.1;69.7;4.7;18.2;1.5;2.7;8.1;5.7;6.1;0.6;5.4;8.7;0.2;0.9;0.1;5.5;0.2;4.1;2.5;4.7;5.5;1.9;0;9;4.6;13.6;0;10.5;21.8;10.6;11.1;23
